"Season","Week","SeasonType","StartDate","StartTimeTBD","Completed","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","HomeLineScores","HomePostgameWinProbability","HomePregameElo","HomePostgameElo","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints","AwayLineScores","AwayPostgameWinProbability","AwayPregameElo","AwayPostgameElo","ExcitementIndex","Highlights","Notes"
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","2006","Akron","fbs","Mid-American","0","0,0,0,0","0.10256508737802505","1245","1235","2751","Wyoming","fbs","Mountain West","10","0,3,0,7","0.897434912621975","1367","1377","4.853832638856986","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","282","Indiana State","fcs","MVFC","41","10,3,21,7","0.9788674712181091","","","2816","McKendree","ii","Great Lakes","24","3,9,0,12","0.02113252878189087","","","5.330943776625397","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","2197","Eastern Illinois","fcs","Big South-OVC","24","0,3,7,14","0.8887839317321777","","","2168","Dayton","fcs","Pioneer","14","7,0,0,7","0.11121606826782227","","","7.113508880152246","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","2682","Walsh","ii","Great Midwest Athletic","38","7,7,17,7","","","","2699","West Liberty","ii","Mountain East","10","3,0,0,7","","","","","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","2222","Ferris State","ii","GLIAC","34","14,6,7,7","","","","90","Pittsburg St","ii","Mid America","17","3,7,7,0","","","","","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","122666","Wilson","ii","Carolinas","7","0,0,0,7","","","","330","Virginia St","ii","CIAA","35","14,7,14,0","","","","","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","2364","Minnesota State Mankato","ii","Northern Sun","38","7,14,14,3","","","","138","Northwest Missouri St","ii","Mid America","14","0,0,14,0","","","","","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","128","Northern Michigan","ii","GLIAC","37","14,13,0,10","","","","2817","Minnesota State Moorhead","ii","Northern Sun","44","0,15,15,14","","","","","",""
"2025","1","regular","2025-08-28T23:00:00.000Z","false","true","152","NC State","fbs","ACC","24","3,14,7,0","0.7480055689811707","1501","1507","151","East Carolina","fbs","American Athletic","17","0,7,0,10","0.25199443101882935","1435","1429","4.6509769467251365","",""
"2025","1","regular","2025-08-28T23:05:00.000Z","false","true","2188","East Stroudsburg University","ii","Pennsylvania State Athletic","14","0,7,0,7","","","","2205","Edinboro University","ii","Pennsylvania State Athletic","29","15,7,0,7","","","","","",""
