rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
210,135,Charlotte,fbs,American Athletic,22.37795,0,3,0,36.794595
211,17,Ouachita Baptist,ii,Great American,22.322966,2,1,0,17.072925
212,59,Stony Brook,fcs,Coastal Athletic,22.020852,2,2,0,22.462006
213,60,Mercer,fcs,Southern,21.922777,2,2,0,21.853813
214,61,Northern Iowa,fcs,MVFC,21.42303,1,2,0,25.184402
215,62,Columbia,fcs,Ivy,21.41182,1,0,0,12.663612
216,63,Cal Poly,fcs,Big Sky,21.361741,2,2,0,22.083936
217,64,Florida A&M,fcs,SWAC,21.245428,1,3,0,31.181871
218,2,Wesleyan (CT),iii,NESCAC,21.171027,1,0,0,-3.578985
219,65,East Tennessee State,fcs,Southern,21.149236,2,2,0,22.320678
220,66,Tennessee State,fcs,OVC,20.855049,1,3,0,35.192602
221,67,McNeese,fcs,Southland,20.821083,1,3,0,23.750208
222,68,Wofford,fcs,Southern,20.80393,2,2,0,24.808439
223,136,Western Kentucky,fbs,Conference USA,20.800328,0,3,0,51.549675
224,137,Wyoming,fbs,Mountain West,20.799406,1,2,0,31.349311
225,69,Idaho,fcs,Big Sky,20.696893,0,4,0,33.222766
226,70,New Hampshire,fcs,Coastal Athletic,20.603878,1,3,0,36.784495
227,71,Wagner,fcs,NEC,20.392196,1,3,0,34.597609
228,72,Grambling,fcs,SWAC,20.360776,2,1,0,12.337907
229,73,Central Arkansas,fcs,UAC,20.306568,2,2,0,21.808
230,74,Delaware State,fcs,MEAC,20.281734,2,2,0,23.533674
231,75,Cornell,fcs,Ivy,20.24815,0,1,0,35.999377
232,76,Morgan State,fcs,MEAC,20.130834,3,1,0,12.794872
233,18,Western Colorado,ii,Rocky Mountain,20.106768,4,0,0,1.208816
234,19,Northwood,ii,Great Midwest Athletic,19.99384,3,0,0,4.752436
235,77,Stonehill,fcs,NEC,19.870498,1,3,0,28.35909
236,78,Georgetown,fcs,Patriot,19.721842,0,2,0,37.97246
237,79,Villanova,fcs,Patriot,19.592366,2,2,0,25.741963
238,138,Sacramento State,fbs,Mid-American,19.571996,1,3,0,29.13671
239,80,Samford,fcs,Southern,19.166606,0,3,0,35.807252
240,1,St. Francis (IL),unknown,Independent,18.983364,0,1,0,49.733334
241,81,William & Mary,fcs,Patriot,18.602524,2,2,0,28.35238
242,20,Southeastern Oklahoma State,ii,Great American,18.188233,2,1,0,14.27171
243,82,East Texas A&M,fcs,Southland,18.127343,1,3,0,29.198998
244,21,Kentucky State,ii,SIAC,17.988636,3,1,0,6.863884
245,83,Portland State,fcs,Big Sky,17.988476,0,4,0,42.512789
246,22,Central Washington,ii,Lone Star,17.696246,1,2,0,22.322962
247,23,Mars Hill,ii,South Atlantic,17.631058,3,0,0,4.54827
