"Id","Season","Week","SeasonType","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"401773057","2025","1","regular","true","Grand Valley State University","45","Lincoln (PA)","9"
"401767230","2025","1","regular","true","Tennessee Tech","65","Cumberland (TN)","0"
"401767339","2025","1","regular","true","Furman","23","William & Mary","21"
"401767657","2025","1","regular","true","Sacred Heart","12","Stonehill","7"
"401773444","2025","1","regular","true","Washburn","20","Truman State","17"
"401767655","2025","1","regular","true","Valparaiso","67","Virginia University Of Lynchburg","10"
"401756878","2025","1","regular","true","West Virginia","45","Robert Morris","3"
"401754518","2025","1","regular","true","Boston College","66","Fordham","10"
"401767536","2025","1","regular","true","Northern Iowa","38","Butler","14"
"401757167","2025","1","regular","true","UConn","59","Central Connecticut","13"
"401773627","2025","1","regular","true","Augustana University (SD)","30","Missouri Western","26"
"401773448","2025","1","regular","true","Fort Lewis","14","William Jewell","34"
"401752806","2025","1","regular","true","Indiana","27","Old Dominion","14"
"401767119","2025","1","regular","true","Northern Colorado","17","Chadron St","3"
"401773086","2025","1","regular","true","Morehouse College","9","Johnson C Smith","45"
"401754519","2025","1","regular","true","Louisville","51","Eastern Kentucky","17"
"401767179","2025","1","regular","true","Jackson State","28","Hampton","14"
"401760359","2025","1","regular","true","Air Force","49","Bucknell","13"
"401762456","2025","1","regular","true","Massachusetts","10","Temple","42"
"401752807","2025","1","regular","true","Penn State","46","Nevada","11"
"401756853","2025","1","regular","true","Iowa State","55","South Dakota","7"
"401752669","2025","1","regular","true","Georgia","45","Marshall","7"
"401752665","2025","1","regular","true","Florida State","31","Alabama","17"
"401762793","2025","1","regular","true","Northern Illinois","19","Holy Cross","17"
"401767350","2025","1","regular","true","Florida A&M","9","Howard","10"
"401752804","2025","1","regular","true","Oregon","59","Montana State","13"
"401757220","2025","1","regular","true","Liberty","28","Maine","7"
"401752666","2025","1","regular","true","Arkansas","52","Alabama A&M","7"
"401767223","2025","1","regular","true","Tennessee State","24","North Carolina A&T","21"
"401762433","2025","1","regular","true","Memphis","45","Chattanooga","10"
"401773079","2025","1","regular","true","Benedict College","10","Fayetteville State","0"
"401767425","2025","1","regular","true","Mississippi Valley State","29","Southern","34"
"401777980","2025","1","regular","true","Pace","10","St. Anselm","34"
"401767454","2025","1","regular","true","East Tennessee State","45","Murray State","17"
"401773129","2025","1","regular","true","Wingate","30","UNC Pembroke","21"
"401773113","2025","1","regular","true","Chowan","28","Elizabeth City State","14"
"401773676","2025","1","regular","true","Frostburg State","41","Shepherd","27"
"401773926","2025","1","regular","true","Catawba","45","Ferrum","13"
"401773657","2025","1","regular","true","UVA Wise","29","Concord University","37"
"401754616","2025","1","regular","true","Virginia","48","Coastal Carolina","7"
"401767415","2025","1","regular","true","South Carolina State","16","Wofford","15"
"401767572","2025","1","regular","true","Mercer","10","Presbyterian","15"
"401767265","2025","1","regular","true","North Carolina Central","10","New Hampshire","27"
"401752675","2025","1","regular","true","Oklahoma","35","Illinois State","3"
"401767201","2025","1","regular","true","Western Carolina","45","Gardner-Webb","52"
"401767634","2025","1","regular","true","Morehead State","38","Allen","31"
"401761590","2025","1","regular","true","James Madison","45","Weber State","10"
"401767651","2025","1","regular","true","Stetson","21","Webber International","31"
"401752799","2025","1","regular","true","Iowa","34","UAlbany","7"
"401774027","2025","1","regular","true","Savannah St","14","Edward Waters","41"
"401773524","2025","1","regular","true","West Alabama","27","Fort Valley State","17"
"401773406","2025","1","regular","true","Lincoln (MO)","55","Lincoln (CA)","6"
"401761595","2025","1","regular","true","Troy","38","Nicholls","20"
"401773572","2025","1","regular","true","UT Permian Basin","34","Central Oklahoma","14"
"401773961","2025","1","regular","true","Bluefield State","23","Greeneville","49"
"401761593","2025","1","regular","true","South Alabama","38","Morgan State","21"
"401756855","2025","1","regular","true","Kansas State","38","North Dakota","35"
"401757222","2025","1","regular","true","Middle Tennessee","14","Austin Peay","34"
"401773423","2025","1","regular","true","Missouri S&T","51","Central Methodist","10"
"401767490","2025","1","regular","true","McNeese","54","Louisiana College","9"
"401788977","2025","1","regular","true","Grambling","55","Langston University","7"
"401752668","2025","1","regular","true","Florida","55","Long Island University","0"
"401757226","2025","1","regular","true","Western Kentucky","55","North Alabama","6"
"401752679","2025","1","regular","true","Vanderbilt","45","Charleston Southern","3"
"401767130","2025","1","regular","true","South Dakota State","20","Sacramento State","3"
"401752678","2025","1","regular","true","Texas A&M","42","UTSA","24"
"401761591","2025","1","regular","true","Arkansas State","42","Southeast Missouri State","24"
"401767547","2025","1","regular","true","Southern Illinois","49","Thomas More College","3"
"401767059","2025","1","regular","true","Incarnate Word","31","Eastern Washington","21"
"401757225","2025","1","regular","true","Utah State","28","UTEP","16"
"401752798","2025","1","regular","true","USC","73","Missouri State","13"
"401757221","2025","1","regular","true","Louisiana Tech","24","SE Louisiana","0"
"401752808","2025","1","regular","true","Michigan","34","New Mexico","17"
"401752671","2025","1","regular","true","Clemson","10","LSU","17"
"401756877","2025","1","regular","true","Texas Tech","67","Arkansas-Pine Bluff","7"
"401752672","2025","1","regular","true","Ole Miss","63","Georgia State","7"
"401762435","2025","1","regular","true","North Texas","51","Lamar","0"
"401767526","2025","1","regular","true","UT Rio Grande Valley","66","Sul Ross State","0"
"401761592","2025","1","regular","true","Louisiana","12","Rice","14"
"401767431","2025","1","regular","true","Texas Southern","21","Prairie View A&M","22"
"401773555","2025","1","regular","true","Missouri Southern State","33","Midwestern State","19"
"401761594","2025","1","regular","true","Texas State","52","Eastern Michigan","27"
"401762457","2025","1","regular","true","Tulsa","35","Abilene Christian","7"
"401756851","2025","1","regular","true","BYU","69","Portland State","0"
"401773585","2025","1","regular","true","Western New Mexico","35","Adams State","21"
"401767070","2025","1","regular","true","San Diego","17","Cal Poly","41"
"401767080","2025","1","regular","true","Southern Utah","46","Idaho State","24"
"401757223","2025","1","regular","true","New Mexico State","19","Bryant","3"
"401754521","2025","1","regular","true","SMU","42","East Texas A&M","13"
"401760361","2025","1","regular","true","Fresno State","42","Georgia Southern","14"
"401752947","2025","1","regular","true","Washington State","13","Idaho","10"
"401767156","2025","1","regular","true","Utah Tech","24","UC Davis","31"
"401756850","2025","1","regular","true","Arizona State","38","Northern Arizona","19"
"401756849","2025","1","regular","true","Arizona","40","Hawai'i","6"
"401752936","2025","1","regular","true","Oregon State","15","California","34"
"401752800","2025","1","regular","true","UCLA","10","Utah","43"
"401752805","2025","1","regular","true","Washington","38","Colorado State","21"
"401752680","2025","1","regular","true","South Carolina","24","Virginia Tech","11"
"401773072","2025","1","regular","true","Virginia Union","45","Miles College","3"
"401774028","2025","1","regular","true","Tuskegee","20","Winston-Salem","17"
"401754522","2025","1","regular","true","Miami","27","Notre Dame","24"
"401754523","2025","1","regular","true","North Carolina","14","TCU","48"
"401773471","2025","2","regular","true","South Dakota Mines","9","Michigan Tech","45"
"401773700","2025","2","regular","true","West Virginia Wesleyan","20","Clarion","48"
"401773494","2025","2","regular","true","Wayne State (MI)","7","Tiffin","34"
"401773648","2025","2","regular","true","PennWest California","23","University Of Charleston (WV)","19"
"401774218","2025","2","regular","true","North Carolina Wesleyan","64","Averett","12"
"401777085","2025","2","regular","true","Heidelberg","65","Hiram College","27"
"401783311","2025","2","regular","true","Wilkes","19","Kings College (PA)","16"
"401776726","2025","2","regular","true","Valley City State","27","Augsburg","0"
"401773677","2025","2","regular","true","Millersville","34","Frostburg State","42"
"401773342","2025","2","regular","true","Southeastern Oklahoma State","44","Arkansas-Monticello","13"
"401773668","2025","2","regular","true","Fairmont State","41","Bloomsburg","40"
"401773165","2025","2","regular","true","Indiana-Pennsylvania","9","Ashland","13"
"401773361","2025","2","regular","true","Northwestern Oklahoma State","7","Harding University","49"
"401773331","2025","2","regular","true","Southwestern Oklahoma State","10","Arkansas Tech","32"
"401777200","2025","2","regular","true","Westminster (PA)","8","Marietta","12"
"401773369","2025","2","regular","true","Henderson State","48","Southern Nazarene","13"
"401774158","2025","2","regular","true","Wisconsin-Eau Claire","29","Carroll University (WI)","7"
"401774062","2025","2","regular","true","Lebanon Valley","21","Franklin & Marshall","31"
"401778004","2025","2","regular","true","Buffalo State","0","Brockport","41"
"401773382","2025","2","regular","true","Southern Arkansas","49","Oklahoma Baptist","14"
"401774272","2025","2","regular","true","Texas Lutheran","14","Trinity University TX","26"
"401777552","2025","2","regular","true","East Stroudsburg University","31","Pace","12"
"401773706","2025","2","regular","true","Kutztown University","51","Assumption","14"
"401773613","2025","2","regular","true","CSU Pueblo","35","Fort Hays State","36"
"401773352","2025","2","regular","true","East Central (OK)","24","Ouachita Baptist","22"
"401773044","2025","2","regular","true","Cornell College (IA)","6","Coe College","62"
"401774462","2025","2","regular","true","Belhaven","50","Millsaps","24"
"401766643","2025","2","regular","true","Illinois College","28","Greenville","9"
"401773580","2025","2","regular","true","West Texas A&M","31","Colorado School Of Mines","33"
"401773258","2025","2","regular","true","Howard Payne","21","Pacific (OR)","13"
"401789174","2025","2","regular","true","Franklin Pierce","13","Slippery Rock","24"
"401778000","2025","2","regular","true","Curry College","35","Bridgewater State","28"
"401778005","2025","2","regular","true","Gallaudet","7","Albright","9"
