HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
Kean,Western Connecticut St,7.0,38.0,-31.0,-28.0,Western Connecticut St -28.0,Correct
Ithaca College,Hobart College,13.0,7.0,6.0,13.0,Ithaca College -13.0,Correct
New Hampshire,UAlbany,24.0,6.0,18.0,21.5,New Hampshire -21.5,Correct
Central State (OH),Lane College,42.0,13.0,29.0,-2.5,Lane College -2.5,Wrong
Concordia University St Paul,Jamestown College,22.0,33.0,-11.0,8.5,Concordia University St Paul -8.5,Wrong
Minnesota Duluth,Minnesota State Moorhead,28.0,14.0,14.0,20.0,Minnesota Duluth -20.0,Correct
Franklin Pierce,Assumption,26.0,28.0,-2.0,0.0,Pick'em,Wrong
Concord University,West Liberty,44.0,21.0,23.0,8.5,Concord University -8.5,Correct
Wayne State (MI),Quincy,14.0,31.0,-17.0,4.0,Wayne State (MI) -4.0,Wrong
Utica,Alfred State,45.0,13.0,32.0,36.5,Utica -36.5,Correct
Saint Vincent,Hiram College,38.0,40.0,-2.0,-3.5,Hiram College -3.5,Correct
Guilford College,Hampden-Sydney,14.0,69.0,-55.0,-52.5,Hampden-Sydney -52.5,Correct
Biddeford,Western New England,37.0,31.0,6.0,0.5,Biddeford -0.5,Correct
Maine Maritime,Keystone,22.0,47.0,-25.0,-27.0,Keystone -27.0,Correct
Shippensburg,Bloomsburg,10.0,7.0,3.0,-18.0,Bloomsburg -18.0,Wrong
Central Michigan,Eastern Michigan,24.0,13.0,11.0,3.0,Central Michigan -3.0,Correct
Hope College,Alma,26.0,29.0,-3.0,21.5,Hope College -21.5,Wrong
Bryant,Towson,24.0,26.0,-2.0,-8.5,Towson -8.5,Correct
Maryville College (TN),Pikeville,34.0,30.0,4.0,9.0,Maryville College (TN) -9.0,Correct
Husson,Endicott College,14.0,48.0,-34.0,-21.5,Endicott College -21.5,Correct
Stonehill,Long Island University,10.0,3.0,7.0,-6.0,Long Island University -6.0,Wrong
Butler,Marist,31.0,28.0,3.0,-5.0,Marist -5.0,Wrong
