"Season","Week","SeasonType","StartDate","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"2025","1","regular","2025-08-29T23:30:00.000Z","true","Illinois","52","Western Illinois","3"
"2025","1","regular","2025-08-29T23:30:00.000Z","true","Kansas","46","Wagner","7"
"2025","1","regular","2025-08-30T00:00:00.000Z","true","Baylor","24","Auburn","38"
"2025","1","regular","2025-08-30T00:00:00.000Z","true","Colorado","20","Georgia Tech","27"
"2025","1","regular","2025-08-30T01:30:00.000Z","true","Sam Houston","21","UNLV","38"
"2025","1","regular","2025-08-30T02:30:00.000Z","true","San José State","14","Central Michigan","16"
"2025","1","regular","2025-08-30T04:00:00.000Z","true","Glenville State","17","Emory & Henry College","45"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Ohio State","14","Texas","7"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Kent State","21","Merrimack","17"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","The Citadel","0","North Dakota State","38"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Carson-Newman College","41","West Virginia State","10"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Gannon","12","Davenport","21"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Lehigh","21","Richmond","14"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Tulane","23","Northwestern","3"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Southern Miss","17","Mississippi State","34"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Navy","52","VMI","7"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Tennessee","45","Syracuse","26"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Shorter","7","Anderson (Sc)","34"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Maryland","39","Florida Atlantic","7"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Purdue","31","Ball State","0"
"2025","1","regular","2025-08-30T16:00:00.000Z","true","Pittsburgh","61","Duquesne","9"
"2025","1","regular","2025-08-30T16:45:00.000Z","true","Kentucky","24","Toledo","16"
"2025","1","regular","2025-08-30T17:00:00.000Z","true","Post University","51","West Virginia Wesleyan","14"
"2025","1","regular","2025-08-30T17:00:00.000Z","true","Davidson","14","Georgetown","51"
"2025","1","regular","2025-08-30T17:00:00.000Z","true","Central State (OH)","24","Kentucky State","34"
"2025","1","regular","2025-08-30T17:00:00.000Z","true","Grand Valley State University","45","Lincoln (PA)","9"
"2025","1","regular","2025-08-30T17:00:00.000Z","true","Shaw","7","Albany State GA","51"
"2025","1","regular","2025-08-30T17:00:00.000Z","true","Tennessee Tech","65","Cumberland (TN)","0"
"2025","1","regular","2025-08-30T17:00:00.000Z","true","Clark Atlanta","28","Valdosta State","31"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Sacred Heart","12","Stonehill","7"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Valparaiso","67","Virginia University Of Lynchburg","10"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Boston College","66","Fordham","10"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Furman","23","William & Mary","21"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Northern Iowa","38","Butler","14"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Augustana University (SD)","30","Missouri Western","26"
"2025","1","regular","2025-08-30T18:00:00.000Z","true","Fort Lewis","14","William Jewell","34"
