HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
Florida International,Kennesaw State,26.0,45.0,-19.0,-15.0,Kennesaw State -15.0,Correct
Louisiana Tech,Western Kentucky,27.0,28.0,-1.0,14.5,Louisiana Tech -14.5,Wrong
Delaware,Middle Tennessee,31.0,28.0,3.0,12.5,Delaware -12.5,Correct
New Mexico State,Missouri State,17.0,24.0,-7.0,-7.0,Missouri State -7.0,Correct
Georgia State,South Alabama,31.0,38.0,-7.0,-7.0,South Alabama -7.0,Correct
Dartmouth,Columbia,49.0,3.0,46.0,13.0,Dartmouth -13.0,Correct
Charlotte,North Texas,20.0,54.0,-34.0,-41.0,North Texas -41.0,Correct
Virginia Tech,California,42.0,34.0,8.0,4.0,Virginia Tech -4.0,Correct
Nevada,Boise State,3.0,24.0,-21.0,-31.0,Boise State -31.0,Correct
Sacramento State,Montana,35.0,49.0,-14.0,-13.0,Montana -13.0,Correct
Springfield,Merchant Marine Academy,35.0,7.0,28.0,12.5,Springfield -12.5,Correct
Nebraska,Northwestern,28.0,21.0,7.0,-2.5,Northwestern -2.5,Wrong
Purdue,Rutgers,24.0,27.0,-3.0,4.5,Purdue -4.5,Wrong
Memphis,South Florida,34.0,31.0,3.0,-10.5,South Florida -10.5,Wrong
Findlay,Ohio Dominican,27.0,20.0,7.0,16.0,Findlay -16.0,Correct
Anna Maria College,Fitchburg State,30.0,22.0,8.0,9.0,Anna Maria College -9.0,Correct
Alfred University,Utica,28.0,51.0,-23.0,-23.5,Utica -23.5,Correct
Davenport,Roosevelt,75.0,23.0,52.0,25.0,Davenport -25.0,Correct
West Chester,Kutztown University,7.0,41.0,-34.0,-31.0,Kutztown University -31.0,Correct
Mercyhurst,Stonehill,15.0,22.0,-7.0,7.0,Mercyhurst -7.0,Wrong
Northern Michigan,Michigan Tech,17.0,56.0,-39.0,-17.5,Michigan Tech -17.5,Correct
Shepherd,East Stroudsburg University,26.0,21.0,5.0,-10.5,East Stroudsburg University -10.5,Wrong
SUNY Morrisville,Brockport,3.0,61.0,-58.0,-24.0,Brockport -24.0,Correct
New England College,Maine Maritime,14.0,10.0,4.0,4.0,New England College -4.0,Correct
Shenandoah,Averett,48.0,3.0,45.0,39.5,Shenandoah -39.5,Correct
Muhlenberg,Carnegie Mellon,27.0,23.0,4.0,-8.5,Carnegie Mellon -8.5,Wrong
Walsh,Thomas More College,41.0,20.0,21.0,8.5,Walsh -8.5,Correct
Castleton,Montclair State,20.0,48.0,-28.0,-25.0,Montclair State -25.0,Correct
Millersville,Bloomsburg,21.0,37.0,-16.0,-6.5,Bloomsburg -6.5,Correct
Long Island University,New Haven,38.0,16.0,22.0,11.5,Long Island University -11.5,Correct
MIT,Salve Regina,28.0,20.0,8.0,-12.5,Salve Regina -12.5,Wrong
Delaware Valley,Stevenson,41.0,38.0,3.0,2.0,Delaware Valley -2.0,Correct
Coast Guard,Norwich,59.0,28.0,31.0,41.0,Coast Guard -41.0,Correct
North Carolina Wesleyan,Southern Virginia,10.0,19.0,-9.0,-4.0,Southern Virginia -4.0,Correct
Thiel,Case Western Reserve,7.0,55.0,-48.0,-43.0,Case Western Reserve -43.0,Correct
Nichols College,Endicott College,3.0,56.0,-53.0,-66.5,Endicott College -66.5,Correct
Assumption,American International,35.0,14.0,21.0,25.0,Assumption -25.0,Correct
Bentley,Pace,42.0,13.0,29.0,10.0,Bentley -10.0,Correct
Marist,Drake,17.0,31.0,-14.0,-17.0,Drake -17.0,Correct
Indiana,UCLA,56.0,6.0,50.0,30.5,Indiana -30.5,Correct
Old Dominion,App State,24.0,21.0,3.0,17.0,Old Dominion -17.0,Correct
Albright,FDU-Florham,32.0,18.0,14.0,17.5,Albright -17.5,Correct
Oklahoma,Ole Miss,26.0,34.0,-8.0,1.5,Oklahoma -1.5,Wrong
Kent State,Bowling Green,24.0,21.0,3.0,-10.0,Bowling Green -10.0,Wrong
North Carolina,Virginia,16.0,17.0,-1.0,-32.5,Virginia -32.5,Correct
Wake Forest,SMU,13.0,12.0,1.0,-2.5,SMU -2.5,Wrong
Yale,Pennsylvania,35.0,13.0,22.0,1.5,Yale -1.5,Correct
Eastern Michigan,Ohio,21.0,28.0,-7.0,-20.5,Ohio -20.5,Correct
