HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
Kansas,Kansas State,17.0,42.0,-25.0,-0.5,Kansas State -0.5,Correct
Bucknell,Georgetown,24.0,31.0,-7.0,-4.0,Georgetown -4.0,Correct
Gannon,Edinboro University,20.0,41.0,-21.0,-9.0,Edinboro University -9.0,Correct
Curry College,Western New England,52.0,31.0,21.0,-21.0,Western New England -21.0,Wrong
Princeton,Harvard,14.0,35.0,-21.0,-22.5,Harvard -22.5,Correct
Dayton,Presbyterian,35.0,19.0,16.0,-13.5,Presbyterian -13.5,Wrong
Wagner,Duquesne,24.0,13.0,11.0,-20.0,Duquesne -20.0,Wrong
Davidson,San Diego,28.0,40.0,-12.0,-34.5,San Diego -34.5,Correct
Mass Maritime,Framingham State,14.0,12.0,2.0,-5.5,Framingham State -5.5,Wrong
Hilbert College,Rensselaer,14.0,69.0,-55.0,-58.0,Rensselaer -58.0,Correct
Bridgewater State,UMass Dartmouth,35.0,15.0,20.0,-18.0,UMass Dartmouth -18.0,Wrong
Georgia Tech,Syracuse,41.0,16.0,25.0,17.0,Georgia Tech -17.0,Correct
Arkansas,Auburn,24.0,33.0,-9.0,-5.0,Auburn -5.0,Correct
Rowan,Salisbury,28.0,31.0,-3.0,-15.0,Salisbury -15.0,Correct
Grove City College,Westminster (PA),14.0,7.0,7.0,4.5,Grove City College -4.5,Correct
Gettysburg,Johns Hopkins University,21.0,59.0,-38.0,-56.0,Johns Hopkins University -56.0,Correct
Reading,Widener,14.0,32.0,-18.0,-12.0,Widener -12.0,Correct
McDaniel College,Dickinson (PA),20.0,23.0,-3.0,-33.5,Dickinson (PA) -33.5,Correct
Ripon,Illinois College,0.0,31.0,-31.0,-16.0,Illinois College -16.0,Correct
Stetson,St. Thomas (MN),10.0,52.0,-42.0,-32.0,St. Thomas (MN) -32.0,Correct
Tennessee Tech,Southeast Missouri State,42.0,23.0,19.0,19.0,Tennessee Tech -19.0,Correct
Lycoming,Wilkes,31.0,21.0,10.0,1.0,Lycoming -1.0,Correct
Valparaiso,Morehead State,13.0,17.0,-4.0,-9.0,Morehead State -9.0,Correct
Ferrum,ERSKINE,35.0,33.0,2.0,-3.5,ERSKINE -3.5,Wrong
Shaw,Fayetteville State,13.0,31.0,-18.0,-38.5,Fayetteville State -38.5,Correct
Moravian,Western Connecticut St,35.0,28.0,7.0,-28.0,Western Connecticut St -28.0,Wrong
Belhaven,Methodist,28.0,7.0,21.0,27.0,Belhaven -27.0,Correct
Hendrix College,LYONCOLL,38.0,21.0,17.0,28.0,Hendrix College -28.0,Correct
Lincoln (PA),Elizabeth City State,14.0,62.0,-48.0,-17.0,Elizabeth City State -17.0,Correct
North Carolina Central,Delaware State,26.0,35.0,-9.0,15.5,North Carolina Central -15.5,Wrong
Fordham,Lehigh,6.0,27.0,-21.0,-35.0,Lehigh -35.0,Correct
William Paterson,Christopher Newport,7.0,52.0,-45.0,-41.5,Christopher Newport -41.5,Correct
Calvin University,Trine University,34.0,31.0,3.0,-4.0,Trine University -4.0,Wrong
Maine,Elon,35.0,14.0,21.0,-7.5,Elon -7.5,Wrong
Bowdoin,Trinity (CT),3.0,45.0,-42.0,-31.0,Trinity (CT) -31.0,Correct
Colby College,Hamilton,17.0,10.0,7.0,14.0,Colby College -14.0,Correct
Worcester Polytechnic Institute,SUNY Maritime,7.0,28.0,-21.0,-19.0,SUNY Maritime -19.0,Correct
Kentucky Wesleyan,Northwood (MI),14.0,49.0,-35.0,-46.0,Northwood (MI) -46.0,Correct
Wheeling,Frostburg State,13.0,31.0,-18.0,-15.0,Frostburg State -15.0,Correct
West Liberty,Glenville State,28.0,32.0,-4.0,-21.0,Glenville State -21.0,Correct
Post University,Franklin Pierce,17.0,28.0,-11.0,-18.5,Franklin Pierce -18.5,Correct
Tiffin,Ashland,27.0,30.0,-3.0,-6.5,Ashland -6.5,Correct
Shippensburg,Lock Haven University,21.0,35.0,-14.0,-10.5,Lock Haven University -10.5,Correct
Ithaca College,Union (NY),14.0,19.0,-5.0,5.0,Ithaca College -5.0,Wrong
Minnesota Duluth,University of Mary,54.0,32.0,22.0,31.0,Minnesota Duluth -31.0,Correct
Misericordia,Eastern University,21.0,28.0,-7.0,4.5,Misericordia -4.5,Wrong
Kenyon,Ohio Wesleyan,13.0,55.0,-42.0,-2.5,Ohio Wesleyan -2.5,Correct
Lagrange College,Huntingdon College (AL),30.0,14.0,16.0,7.0,Lagrange College -7.0,Correct
John Carroll University,Wooster,66.0,7.0,59.0,34.5,John Carroll University -34.5,Correct
Washington & Jefferson,Waynesburg,56.0,0.0,56.0,40.0,Washington & Jefferson -40.0,Correct
Hampden-Sydney,Roanoke College,35.0,10.0,25.0,32.0,Hampden-Sydney -32.0,Correct
Gallaudet,Randolph-Macon,7.0,47.0,-40.0,-54.5,Randolph-Macon -54.5,Correct
Greenville,Minnesota Morris,27.0,20.0,7.0,4.0,Greenville -4.0,Correct
Southwestern University,Maryville College (TN),13.0,44.0,-31.0,-20.5,Maryville College (TN) -20.5,Correct
Fairmont State,University Of Charleston (WV),35.0,45.0,-10.0,-14.0,University Of Charleston (WV) -14.0,Correct
Central State (OH),Miles College,24.0,28.0,-4.0,4.5,Central State (OH) -4.5,Wrong
Ursinus,Franklin & Marshall,20.0,52.0,-32.0,2.0,Ursinus -2.0,Wrong
Susquehanna,Catholic,69.0,13.0,56.0,44.5,Susquehanna -44.5,Correct
Hobart College,St. Lawrence,49.0,17.0,32.0,14.5,Hobart College -14.5,Correct
Buffalo,Akron,16.0,24.0,-8.0,4.5,Buffalo -4.5,Wrong
Southern Connecticut State,St. Anselm,37.0,13.0,24.0,-19.0,St. Anselm -19.0,Wrong
Westminster College (MO),Martin Luther,28.0,38.0,-10.0,-10.5,Martin Luther -10.5,Correct
Middlebury,Bates,34.0,16.0,18.0,4.0,Middlebury -4.0,Correct
Kalamazoo,Albion,30.0,26.0,4.0,-11.5,Albion -11.5,Wrong
Adrian,Hope College,17.0,19.0,-2.0,-13.0,Hope College -13.0,Correct
Augsburg,Concordia Moorhead,7.0,26.0,-19.0,-7.5,Concordia Moorhead -7.5,Correct
Kean,College Of New Jersey,7.0,24.0,-17.0,-23.5,College Of New Jersey -23.5,Correct
Virginia Union,Bowie State,24.0,7.0,17.0,27.0,Virginia Union -27.0,Correct
Wesleyan University (CT),Amherst,31.0,21.0,10.0,2.5,Wesleyan University (CT) -2.5,Correct
Lebanon Valley,Kings College (PA),20.0,21.0,-1.0,11.0,Lebanon Valley -11.0,Wrong
Olivet College,Alma,21.0,53.0,-32.0,-54.5,Alma -54.5,Correct
Berry College,Millsaps,43.0,20.0,23.0,26.0,Berry College -26.0,Correct
Biddeford,Husson,38.0,28.0,10.0,21.5,Biddeford -21.5,Correct
St John Fisher University,Cortland,7.0,31.0,-24.0,-25.5,Cortland -25.5,Correct
Clark Atlanta,Edward Waters,41.0,55.0,-14.0,-20.5,Edward Waters -20.5,Correct
Mars Hill,Lenoir-Rhyne,0.0,45.0,-45.0,-1.0,Lenoir-Rhyne -1.0,Correct
Ferris State,Grand Valley State University,38.0,31.0,7.0,24.0,Ferris State -24.0,Correct
Johnson C Smith,Winston-Salem,52.0,27.0,25.0,14.0,Johnson C Smith -14.0,Correct
New Hampshire,William & Mary,34.0,24.0,10.0,-3.0,William & Mary -3.0,Wrong
Holy Cross,Colgate,28.0,29.0,-1.0,-5.5,Colgate -5.5,Correct
Cornell,Brown,30.0,24.0,6.0,-14.5,Brown -14.5,Wrong
Rhode Island,Bryant,38.0,17.0,21.0,16.0,Rhode Island -16.0,Correct
North Carolina A&T,Campbell,28.0,24.0,4.0,-8.5,Campbell -8.5,Wrong
Muskingum University,Heidelberg,14.0,27.0,-13.0,-4.5,Heidelberg -4.5,Correct
Hanover College,Manchester,76.0,7.0,69.0,55.0,Hanover College -55.0,Correct
Anderson (IN),Wilmington (OH),23.0,34.0,-11.0,-26.5,Wilmington (OH) -26.5,Correct
University of Mount Union,Ohio Northern,33.0,7.0,26.0,21.5,University of Mount Union -21.5,Correct
Capital,Otterbein,19.0,20.0,-1.0,13.5,Capital -13.5,Wrong
Worcester St,Dean College,52.0,27.0,25.0,26.0,Worcester St -26.0,Correct
Tufts,Williams,41.0,20.0,21.0,-15.5,Williams -15.5,Wrong
Mount St. Joseph,Franklin,52.0,21.0,31.0,2.5,Mount St. Joseph -2.5,Correct
Trinity University TX,Centre College Kentucky,19.0,14.0,5.0,22.5,Trinity University TX -22.5,Correct
Hardin-Simmons,Southwestern Assemblies Of God,68.0,14.0,54.0,3.0,Hardin-Simmons -3.0,Correct
Buena Vista,Loras College,14.0,28.0,-14.0,-10.5,Loras College -10.5,Correct
Ouachita Baptist,Southern Arkansas,42.0,14.0,28.0,-5.0,Southern Arkansas -5.0,Wrong
Simpson College (IA),Dubuque,27.0,7.0,20.0,4.0,Simpson College (IA) -4.0,Correct
Wisconsin-Whitewater,Wisconsin-Platteville,29.0,19.0,10.0,0.5,Wisconsin-Whitewater -0.5,Correct
Concordia University Chicago,Concordia-Wisconsin,20.0,47.0,-27.0,-24.5,Concordia-Wisconsin -24.5,Correct
Saginaw Valley State,Wayne State (MI),28.0,7.0,21.0,18.0,Saginaw Valley State -18.0,Correct
William Jewell,Upper Iowa University,10.0,28.0,-18.0,-22.0,Upper Iowa University -22.0,Correct
Benedict College,Albany State GA,3.0,31.0,-28.0,-2.5,Albany State GA -2.5,Correct
Wilson,Shorter,7.0,33.0,-26.0,-3.5,Shorter -3.5,Correct
Clarion,Seton Hill,23.0,17.0,6.0,9.0,Clarion -9.0,Correct
Wartburg,Central College,28.0,13.0,15.0,8.5,Wartburg -8.5,Correct
Cornell College (IA),Lake Forest College,24.0,49.0,-25.0,-20.5,Lake Forest College -20.5,Correct
Beloit,Monmouth (IL),0.0,72.0,-72.0,-57.0,Monmouth (IL) -57.0,Correct
Lawrence University,Knox College,0.0,0.0,0.0,1.5,Lawrence University -1.5,Wrong
Charleston Southern,Eastern Illinois,17.0,16.0,1.0,5.5,Charleston Southern -5.5,Correct
Youngstown State,Murray State,51.0,17.0,34.0,23.0,Youngstown State -23.0,Correct
West Georgia,Central Arkansas,18.0,17.0,1.0,5.0,West Georgia -5.0,Correct
Livingstone,Virginia University Of Lynchburg,44.0,22.0,22.0,20.5,Livingstone -20.5,Correct
Concord University,West Virginia Wesleyan,31.0,21.0,10.0,29.0,Concord University -29.0,Correct
Anderson (Sc),Wingate,3.0,30.0,-27.0,-9.5,Wingate -9.5,Correct
Minot State,Sioux Falls,17.0,24.0,-7.0,-18.5,Sioux Falls -18.5,Correct
Bemidji State,Jamestown College,47.0,25.0,22.0,13.0,Bemidji State -13.0,Correct
Southwest Baptist,Truman State,16.0,27.0,-11.0,-23.5,Truman State -23.5,Correct
Quincy,Missouri S&T,31.0,30.0,1.0,-2.5,Missouri S&T -2.5,Wrong
Wisconsin-Eau Claire,Wisconsin-River Falls,21.0,73.0,-52.0,-34.5,Wisconsin-River Falls -34.5,Correct
Washburn,Fort Hays State,10.0,13.0,-3.0,-1.0,Fort Hays State -1.0,Correct
Virginia St,Bluefield State,51.0,34.0,17.0,21.0,Virginia St -21.0,Correct
Grinnell,Chicago,7.0,38.0,-31.0,-32.0,Chicago -32.0,Correct
Carroll University (WI),Elmhurst,47.0,7.0,40.0,29.0,Carroll University (WI) -29.0,Correct
North Central College,Augustana (IL),76.0,14.0,62.0,45.0,North Central College -45.0,Correct
Baldwin Wallace,Marietta,38.0,0.0,38.0,29.0,Baldwin Wallace -29.0,Correct
Furman,The Citadel,24.0,14.0,10.0,-1.0,The Citadel -1.0,Wrong
South Dakota,Illinois State,13.0,21.0,-8.0,2.0,South Dakota -2.0,Wrong
St. Norbert,Rockford,61.0,10.0,51.0,33.0,St. Norbert -33.0,Correct
McKendree,Lincoln (MO),54.0,48.0,6.0,14.0,McKendree -14.0,Correct
Hamline University,Gustavus Adolphus,9.0,63.0,-54.0,-33.0,Gustavus Adolphus -33.0,Correct
St. Olaf,St. Scholastica,44.0,41.0,3.0,10.5,St. Olaf -10.5,Correct
Hampton,Monmouth,10.0,28.0,-18.0,-34.5,Monmouth -34.5,Correct
Benedictine University,Lakeland,42.0,35.0,7.0,21.0,Benedictine University -21.0,Correct
Indiana-Pennsylvania,PennWest California,38.0,30.0,8.0,13.0,Indiana-Pennsylvania -13.0,Correct
Wayne State (NE),Minnesota State Mankato,35.0,20.0,15.0,-20.5,Minnesota State Mankato -20.5,Wrong
Southwest Minnesota State,Augustana University (SD),29.0,57.0,-28.0,-36.5,Augustana University (SD) -36.5,Correct
Westfield State,Plymouth State,35.0,42.0,-7.0,-10.0,Plymouth State -10.0,Correct
Bethel (MN),Macalester,53.0,0.0,53.0,49.0,Bethel (MN) -49.0,Correct
Oberlin,Wittenberg,0.0,52.0,-52.0,-50.5,Wittenberg -50.5,Correct
Saint John's (MN),Carleton,49.0,10.0,39.0,14.5,Saint John's (MN) -14.5,Correct
Coe College,Luther,42.0,21.0,21.0,62.0,Coe College -62.0,Correct
Wisconsin-Stout,Wisconsin-Stevens Pt,42.0,22.0,20.0,12.5,Wisconsin-Stout -12.5,Correct
Wheaton,Washington University (St. Louis),28.0,24.0,4.0,24.5,Wheaton -24.5,Correct
Illinois Wesleyan,North Park,49.0,21.0,28.0,19.5,Illinois Wesleyan -19.5,Correct
Norfolk State,South Carolina State,20.0,51.0,-31.0,-23.0,South Carolina State -23.0,Correct
Rose-Hulman,Bluffton,27.0,30.0,-3.0,-1.5,Bluffton -1.5,Correct
Carthage,Millikin,24.0,7.0,17.0,7.0,Carthage -7.0,Correct
Mary Hardin-Baylor,Howard Payne,41.0,17.0,24.0,7.5,Mary Hardin-Baylor -7.5,Correct
Tennessee State,Western Illinois,16.0,17.0,-1.0,-4.5,Western Illinois -4.5,Correct
Central Missouri,Emporia State University,27.0,31.0,-4.0,7.0,Central Missouri -7.0,Wrong
Hillsdale,Lake Erie,35.0,10.0,25.0,15.5,Hillsdale -15.5,Correct
Southern Illinois,Northern Iowa,31.0,17.0,14.0,16.0,Southern Illinois -16.0,Correct
Rice,UConn,37.0,34.0,3.0,-16.0,UConn -16.0,Wrong
St. Francis (PA),Robert Morris,14.0,24.0,-10.0,-7.5,Robert Morris -7.5,Correct
Lindenwood,Gardner-Webb,20.0,48.0,-28.0,-4.5,Gardner-Webb -4.5,Correct
New Mexico,Utah State,33.0,14.0,19.0,-1.0,Utah State -1.0,Wrong
Mercer,VMI,62.0,0.0,62.0,37.0,Mercer -37.0,Correct
Tuskegee,Allen,13.0,28.0,-15.0,13.0,Tuskegee -13.0,Wrong
Wisconsin-Lacrosse,Wisconsin-Oshkosh,44.0,13.0,31.0,9.0,Wisconsin-Lacrosse -9.0,Correct
Northwestern State,Lamar,14.0,41.0,-27.0,-24.5,Lamar -24.5,Correct
Weber State,Eastern Washington,20.0,23.0,-3.0,-2.0,Eastern Washington -2.0,Correct
Prairie View A&M,Lincoln (CA),38.0,0.0,38.0,40.0,Prairie View A&M -40.0,Correct
Houston Christian,SE Louisiana,14.0,38.0,-24.0,-33.5,SE Louisiana -33.5,Correct
Eastern Kentucky,Tarleton State,7.0,31.0,-24.0,-31.5,Tarleton State -31.5,Correct
West Alabama,Delta State,38.0,41.0,-3.0,-15.5,Delta State -15.5,Correct
Alcorn State,Mississippi Valley State,32.0,10.0,22.0,1.5,Alcorn State -1.5,Correct
Missouri Southern State,Missouri Western,12.0,19.0,-7.0,8.5,Missouri Southern State -8.5,Wrong
Northern Colorado,UC Davis,16.0,27.0,-11.0,-16.0,UC Davis -16.0,Correct
Bethune-Cookman,Arkansas-Pine Bluff,31.0,14.0,17.0,14.0,Bethune-Cookman -14.0,Correct
Winona State,Concordia University St Paul,24.0,14.0,10.0,19.5,Winona State -19.5,Correct
Western Colorado,Colorado School Of Mines,40.0,17.0,23.0,14.0,Western Colorado -14.0,Correct
Carson-Newman College,UVA Wise,35.0,14.0,21.0,29.5,Carson-Newman College -29.5,Correct
Lane College,Fort Valley State,19.0,23.0,-4.0,-27.0,Fort Valley State -27.0,Correct
Savannah St,Morehouse College,24.0,16.0,8.0,-0.5,Morehouse College -0.5,Wrong
Rhodes College,Sewanee,6.0,28.0,-22.0,-8.5,Sewanee -8.5,Correct
Valdosta State,North Greenville,35.0,24.0,11.0,-2.0,North Greenville -2.0,Wrong
Harding University,Arkansas-Monticello,55.0,0.0,55.0,50.0,Harding University -50.0,Correct
Denison University,Depauw,28.0,35.0,-7.0,-16.5,Depauw -16.5,Correct
Northwest Missouri St,Nebraska-Kearney,14.0,0.0,14.0,19.0,Northwest Missouri St -19.0,Correct
West Florida,West Virginia State,55.0,6.0,49.0,24.5,West Florida -24.5,Correct
Southwestern Oklahoma State,East Central (OK),38.0,14.0,24.0,1.5,Southwestern Oklahoma State -1.5,Correct
Hiram College,Allegheny,13.0,28.0,-15.0,-7.5,Allegheny -7.5,Correct
Geneva,Bethany (WV),75.0,28.0,47.0,37.5,Geneva -37.5,Correct
Buffalo State,University of Rochester (NY),3.0,23.0,-20.0,-32.5,University of Rochester (NY) -32.5,Correct
East Tennessee State,Wofford,14.0,10.0,4.0,4.0,East Tennessee State -4.0,Correct
Navy,Florida Atlantic,42.0,32.0,10.0,14.0,Navy -14.0,Correct
Fresno State,San Diego State,0.0,23.0,-23.0,-15.0,San Diego State -15.0,Correct
Tulsa,Temple,37.0,38.0,-1.0,-11.5,Temple -11.5,Correct
Central Michigan,Massachusetts,38.0,13.0,25.0,21.0,Central Michigan -21.0,Correct
Miami (OH),Western Michigan,26.0,17.0,9.0,-11.5,Western Michigan -11.5,Wrong
Vanderbilt,Missouri,17.0,10.0,7.0,2.0,Vanderbilt -2.0,Correct
Iowa,Minnesota,41.0,3.0,38.0,10.5,Iowa -10.5,Correct
South Carolina,Alabama,22.0,29.0,-7.0,-15.5,Alabama -15.5,Correct
Howard,Morgan State,33.0,27.0,6.0,1.5,Howard -1.5,Correct
Washington State,Toledo,28.0,7.0,21.0,-0.5,Toledo -0.5,Wrong
Northern Illinois,Ball State,21.0,7.0,14.0,-4.0,Ball State -4.0,Wrong
Villanova,UAlbany,29.0,16.0,13.0,29.5,Villanova -29.5,Correct
Stony Brook,Towson,27.0,19.0,8.0,3.5,Stony Brook -3.5,Correct
Southern Miss,UL Monroe,49.0,21.0,28.0,18.5,Southern Miss -18.5,Correct
Alabama A&M,Alabama State,13.0,56.0,-43.0,-14.5,Alabama State -14.5,Correct
Washington,Illinois,42.0,25.0,17.0,-1.5,Illinois -1.5,Wrong
Iowa State,BYU,27.0,41.0,-14.0,-5.5,BYU -5.5,Correct
Samford,Chattanooga,13.0,49.0,-36.0,-13.5,Chattanooga -13.5,Correct
Pittsburgh,NC State,53.0,34.0,19.0,3.0,Pittsburgh -3.0,Correct
North Dakota,Indiana State,46.0,17.0,29.0,24.5,North Dakota -24.5,Correct
Pacific Lutheran,Linfield College,15.0,31.0,-16.0,-17.0,Linfield College -17.0,Correct
Nicholls,McNeese,31.0,7.0,24.0,2.0,Nicholls -2.0,Correct
Texas Tech,Oklahoma State,42.0,0.0,42.0,39.5,Texas Tech -39.5,Correct
Pacific (OR),Willamette,35.0,14.0,21.0,15.5,Pacific (OR) -15.5,Correct
Lewis & Clark College,Whitworth,35.0,42.0,-7.0,-3.5,Whitworth -3.5,Correct
Washington and Lee,Bridgewater (VA),20.0,17.0,3.0,16.5,Washington and Lee -16.5,Correct
Austin Peay,North Alabama,56.0,28.0,28.0,21.0,Austin Peay -21.0,Correct
Cincinnati,Baylor,41.0,20.0,21.0,6.5,Cincinnati -6.5,Correct
Idaho,Portland State,45.0,6.0,39.0,14.5,Idaho -14.5,Correct
Colorado Mesa,Fort Lewis,24.0,14.0,10.0,30.5,Colorado Mesa -30.5,Correct
Northwestern Oklahoma State,Southern Nazarene,33.0,22.0,11.0,-11.0,Southern Nazarene -11.0,Wrong
Alfred State,Hartwick,54.0,28.0,26.0,14.5,Alfred State -14.5,Correct
Mississippi State,Texas,38.0,45.0,-7.0,-8.0,Texas -8.0,Correct
NEWBERG,Puget Sound,48.0,23.0,25.0,13.5,NEWBERG -13.5,Correct
Southern,Florida A&M,35.0,43.0,-8.0,-2.5,Florida A&M -2.5,Correct
Austin,Texas Lutheran,7.0,55.0,-48.0,-22.0,Texas Lutheran -22.0,Correct
Eastern New Mexico,Western New Mexico,59.0,35.0,24.0,16.0,Eastern New Mexico -16.0,Correct
Arkansas Tech,Henderson State,17.0,6.0,11.0,-12.0,Henderson State -12.0,Wrong
CENTENARY,McMurry,6.0,52.0,-46.0,-34.5,McMurry -34.5,Correct
Idaho State,Northern Arizona,18.0,31.0,-13.0,-4.0,Northern Arizona -4.0,Correct
Chowan,UNC Pembroke,10.0,42.0,-32.0,-35.5,UNC Pembroke -35.5,Correct
Catawba,Greeneville,38.0,3.0,35.0,20.5,Catawba -20.5,Correct
Newberry,Emory & Henry College,36.0,34.0,2.0,-17.5,Emory & Henry College -17.5,Wrong
Greensboro College,Brevard College,7.0,34.0,-27.0,-18.0,Brevard College -18.0,Correct
West Virginia,TCU,17.0,23.0,-6.0,-23.0,TCU -23.0,Correct
Eureka College,Wisconsin-Lutheran,12.0,42.0,-30.0,-32.5,Wisconsin-Lutheran -32.5,Correct
Grambling,Jackson State,26.0,24.0,2.0,-12.0,Jackson State -12.0,Wrong
Miami,Stanford,42.0,7.0,35.0,34.0,Miami -34.0,Correct
Oklahoma Baptist,Southeastern Oklahoma State,10.0,14.0,-4.0,-11.0,Southeastern Oklahoma State -11.0,Correct
East Texas A&M,Stephen F. Austin,21.0,31.0,-10.0,-7.5,Stephen F. Austin -7.5,Correct
Troy,Louisiana,35.0,23.0,12.0,8.0,Troy -8.0,Correct
Oregon,Wisconsin,21.0,7.0,14.0,33.5,Oregon -33.5,Correct
Arkansas State,Georgia Southern,34.0,24.0,10.0,-1.5,Georgia Southern -1.5,Wrong
Northern State,Minnesota State Moorhead,49.0,48.0,1.0,4.5,Northern State -4.5,Correct
UT Permian Basin,West Texas A&M,22.0,6.0,16.0,8.5,UT Permian Basin -8.5,Correct
Louisville,Boston College,38.0,24.0,14.0,37.5,Louisville -37.5,Correct
Wyoming,Colorado State,28.0,0.0,28.0,-1.0,Colorado State -1.0,Wrong
LSU,Texas A&M,25.0,49.0,-24.0,-6.5,Texas A&M -6.5,Correct
Michigan State,Michigan,20.0,31.0,-11.0,-18.5,Michigan -18.5,Correct
Kentucky,Tennessee,34.0,56.0,-22.0,-12.5,Tennessee -12.5,Correct
South Dakota State,North Dakota State,7.0,38.0,-31.0,-11.0,North Dakota State -11.0,Correct
Central Oklahoma,Northeastern State,21.0,28.0,-7.0,8.0,Central Oklahoma -8.0,Wrong
Cal Poly,Montana State,17.0,34.0,-17.0,-16.5,Montana State -16.5,Correct
Utah Tech,Southern Utah,7.0,28.0,-21.0,-9.5,Southern Utah -9.5,Correct
Adams State,New Mexico Highlands,10.0,49.0,-39.0,-22.0,New Mexico Highlands -22.0,Correct
Midwestern State,Central Washington,13.0,56.0,-43.0,-38.0,Central Washington -38.0,Correct
Sul Ross State,Angelo State,,62.0,,-44.0,Angelo State -44.0,Wrong
Northwestern (MN),Crown College,24.0,16.0,8.0,-4.0,Crown College -4.0,Wrong
Arizona State,Houston,16.0,24.0,-8.0,0.0,Pick'em,Wrong
UT Rio Grande Valley,Incarnate Word,56.0,28.0,28.0,-2.5,Incarnate Word -2.5,Wrong
