HomeTeam,AwayTeam,Week,Line,Spread
Minnesota State Moorhead,Jamestown College,11,Minnesota State Moorhead -26.0,26.0
Alfred State,Alfred University,11,Alfred University -1.5,-1.5
Ole Miss,The Citadel,11,Ole Miss -38.0,38.0
Geneva,Washington & Jefferson,11,Washington & Jefferson -24.5,-24.5
Eastern Michigan,Bowling Green,11,Bowling Green -6.5,-6.5
Georgetown,Richmond,11,Richmond -2.0,-2.0
Fordham,Bucknell,11,Bucknell -3.0,-3.0
Valparaiso,San Diego,11,San Diego -23.5,-23.5
Morehead State,Butler,11,Butler -10.0,-10.0
Indiana State,Illinois State,11,Illinois State -3.0,-3.0
Towson,Villanova,11,Villanova -7.0,-7.0
Eastern Illinois,Tennessee Tech,11,Tennessee Tech -21.5,-21.5
Hampton,Maine,11,Maine -19.5,-19.5
UAlbany,Bryant,11,Bryant -5.0,-5.0
Waynesburg,Saint Vincent,11,Waynesburg -6.5,6.5
Minnesota Morris,Westminster College (MO),11,Minnesota Morris -1.5,1.5
Elizabeth City State,Bluefield State,11,Elizabeth City State -13.5,13.5
Lagrange College,Belhaven,11,Lagrange College -5.5,5.5
Washington and Lee,Roanoke College,11,Washington and Lee -10.0,10.0
Hampden-Sydney,Bridgewater (VA),11,Hampden-Sydney -31.5,31.5
John Carroll University,Ohio Wesleyan,11,John Carroll University -24.5,24.5
Greenville,Northwestern (MN),11,Northwestern (MN) -4.5,-4.5
Post University,St. Anselm,11,St. Anselm -9.5,-9.5
Westminster (PA),Hiram College,11,Westminster (PA) -33.0,33.0
Depauw,Wooster,11,Depauw -23.5,23.5
Dickinson (PA),Ursinus,11,Ursinus -1.5,-1.5
Gettysburg,Muhlenberg,11,Muhlenberg -30.0,-30.0
Widener,Kings College (PA),11,Kings College (PA) -12.0,-12.0
Rhodes College,Southwestern University,11,Southwestern University -10.5,-10.5
Thiel,Bethany (WV),11,Thiel -13.5,13.5
Kenyon,Denison University,11,Denison University -23.0,-23.0
Davidson,Presbyterian,11,Presbyterian -26.0,-26.0
Adrian,Trine University,11,Adrian -8.0,8.0
Methodist,Brevard College,11,Brevard College -26.5,-26.5
Rowan,Castleton,11,Rowan -43.5,43.5
Berry College,Maryville College (TN),11,Berry College -9.5,9.5
William Paterson,Kean,11,William Paterson -6.5,6.5
Carthage,Augustana (IL),11,Augustana (IL) -10.5,-10.5
Illinois Wesleyan,Carroll University (WI),11,Illinois Wesleyan -7.0,7.0
Wheaton,Millikin,11,Wheaton -40.5,40.5
Elmhurst,North Central College,11,North Central College -70.0,-70.0
Washington University (St. Louis),North Park,11,Washington University (St. Louis) -23.5,23.5
Augsburg,Gustavus Adolphus,11,Gustavus Adolphus -8.0,-8.0
Saint John's (MN),St. Scholastica,11,Saint John's (MN) -35.0,35.0
Rockford,Wisconsin-Lutheran,11,Wisconsin-Lutheran -22.0,-22.0
St. Olaf,Hamline University,11,St. Olaf -23.5,23.5
Alma,Kalamazoo,11,Alma -33.5,33.5
Hope College,Calvin University,11,Hope College -21.0,21.0
Lebanon Valley,Reading,11,Lebanon Valley -27.0,27.0
Misericordia,Delaware Valley,11,Pick'em,0.0
Gardner-Webb,Southeast Missouri State,11,Gardner-Webb -7.5,7.5
South Carolina State,Howard,11,South Carolina State -14.0,14.0
VMI,Wofford,11,Wofford -16.0,-16.0
Marietta,University of Mount Union,11,University of Mount Union -34.0,-34.0
Heidelberg,Wilmington (OH),11,Heidelberg -10.5,10.5
Capital,Muskingum University,11,Muskingum University -3.5,-3.5
Ohio Northern,Baldwin Wallace,11,Baldwin Wallace -3.5,-3.5
Mount St. Joseph,Manchester,11,Mount St. Joseph -35.5,35.5
Hanover College,Otterbein,11,Hanover College -36.5,36.5
Franklin,Bluffton,11,Franklin -12.0,12.0
UT Martin,Tennessee State,11,UT Martin -13.5,13.5
Monmouth (IL),Ripon,11,Monmouth (IL) -39.5,39.5
Grinnell,Lawrence University,11,Grinnell -9.5,9.5
Beloit,Chicago,11,Chicago -37.0,-37.0
Cornell College (IA),Illinois College,11,Illinois College -18.0,-18.0
Simpson College (IA),Central College,11,Central College -4.5,-4.5
Buena Vista,Nebraska Wesleyan,11,Nebraska Wesleyan -6.5,-6.5
Coe College,Loras College,11,Coe College -26.0,26.0
Mary Hardin-Baylor,Hardin-Simmons,11,Hardin-Simmons -10.0,-10.0
East Texas Baptist University,Howard Payne,11,Howard Payne -5.0,-5.0
Henderson State,East Central (OK),11,East Central (OK) -1.0,-1.0
Southwest Baptist,Indianapolis,11,Indianapolis -27.5,-27.5
Upper Iowa University,Quincy,11,Upper Iowa University -18.5,18.5
Grand Valley State University,Michigan Tech,11,Grand Valley State University -2.5,2.5
Roosevelt,Wayne State (MI),11,Wayne State (MI) -4.5,-4.5
Midwestern State,West Texas A&M,11,West Texas A&M -16.0,-16.0
Central Oklahoma,Missouri Southern State,11,Central Oklahoma -8.0,8.0
Washburn,Emporia State University,11,Emporia State University -2.0,-2.0
Central Missouri,Pittsburg St,11,Pittsburg St -15.5,-15.5
Augustana University (SD),Minnesota State Mankato,11,Minnesota State Mankato -5.0,-5.0
Southwest Minnesota State,Concordia University St Paul,11,Southwest Minnesota State -3.0,3.0
Sioux Falls,Wayne State (NE),11,Sioux Falls -2.5,2.5
Bloomsburg,Kutztown University,11,Kutztown University -35.5,-35.5
West Alabama,Lincoln (CA),11,West Alabama -14.0,14.0
Northwestern State,Incarnate Word,11,Incarnate Word -14.0,-14.0
North Dakota,North Dakota State,11,North Dakota State -13.5,-13.5
McMurry,Hendrix College,11,McMurry -2.0,2.0
North Carolina Central,Norfolk State,11,North Carolina Central -25.5,25.5
Eureka College,Lakeland,11,Lakeland -31.5,-31.5
Crown College,Martin Luther,11,Crown College -4.0,4.0
Benedictine University,Concordia University Chicago,11,Benedictine University -25.5,25.5
University of Mary,Winona State,11,University of Mary -2.5,2.5
Youngstown State,Southern Illinois,11,Southern Illinois -3.5,-3.5
Wisconsin-River Falls,Wisconsin-Lacrosse,11,Wisconsin-River Falls -14.0,14.0
Western Illinois,Lindenwood,11,Lindenwood -5.0,-5.0
Elon,Rhode Island,11,Rhode Island -9.5,-9.5
Wisconsin-Whitewater,Wisconsin-Eau Claire,11,Wisconsin-Whitewater -31.0,31.0
Allen,Edward Waters,11,Edward Waters -8.0,-8.0
Northern Iowa,Murray State,11,Northern Iowa -10.0,10.0
Rose-Hulman,Anderson (IN),11,Rose-Hulman -14.0,14.0
Wisconsin-Oshkosh,Wisconsin-Stevens Pt,11,Wisconsin-Oshkosh -16.0,16.0
Trinity University TX,Millsaps,11,Trinity University TX -13.0,13.0
Macalester,Concordia Moorhead,11,Concordia Moorhead -10.0,-10.0
Campbell,William & Mary,11,William & Mary -8.0,-8.0
Fort Valley State,Albany State GA,11,Albany State GA -22.0,-22.0
Greeneville,Wingate,11,Wingate -29.0,-29.0
Bethel (MN),Carleton,11,Bethel (MN) -18.5,18.5
Colorado School Of Mines,CSU Pueblo,11,CSU Pueblo -9.5,-9.5
Adams State,Black Hills State,11,Black Hills State -20.5,-20.5
Huntingdon College (AL),Southern Virginia,11,Huntingdon College (AL) -1.5,1.5
LYONCOLL,Texas Lutheran,11,Texas Lutheran -27.0,-27.0
Rice,UAB,11,Rice -1.0,1.0
Sewanee,Centre College Kentucky,11,Centre College Kentucky -9.0,-9.0
Aurora,St. Norbert,11,Aurora -10.0,10.0
Northwest Missouri St,Missouri Western,11,Northwest Missouri St -27.0,27.0
Western Carolina,Mercer,11,Mercer -10.5,-10.5
Rutgers,Maryland,11,Maryland -6.0,-6.0
Alabama A&M,Prairie View A&M,11,Prairie View A&M -9.0,-9.0
Grambling,Bethune-Cookman,11,Grambling -1.5,1.5
Eastern Kentucky,Southern Utah,11,Southern Utah -9.5,-9.5
Montana,Eastern Washington,11,Montana -24.0,24.0
Florida Atlantic,Tulsa,11,Tulsa -2.5,-2.5
Houston Christian,Stephen F. Austin,11,Stephen F. Austin -28.0,-28.0
New Mexico Highlands,Fort Lewis,11,New Mexico Highlands -13.0,13.0
Abilene Christian,Utah Tech,11,Abilene Christian -13.5,13.5
Alabama State,Texas Southern,11,Alabama State -18.0,18.0
UTEP,Jacksonville State,11,Jacksonville State -3.5,-3.5
Guilford College,Averett,11,Guilford College -12.0,12.0
Wisconsin-Platteville,Wisconsin-Stout,11,Wisconsin-Platteville -13.5,13.5
Miles College,Tuskegee,11,Tuskegee -4.0,-4.0
Lane College,Kentucky State,11,Kentucky State -31.0,-31.0
Clark Atlanta,Morehouse College,11,Morehouse College -2.5,-2.5
Savannah St,Benedict College,11,Benedict College -11.0,-11.0
Chadron St,Western Colorado,11,Western Colorado -9.5,-9.5
Northern State,Minot State,11,Northern State -20.0,20.0
Southern Arkansas,Southeastern Oklahoma State,11,Southern Arkansas -8.0,8.0
Southwestern Oklahoma State,Ouachita Baptist,11,Ouachita Baptist -2.5,-2.5
Southern Nazarene,Harding University,11,Harding University -41.0,-41.0
Northwestern Oklahoma State,Arkansas-Monticello,11,Arkansas-Monticello -2.5,-2.5
Oklahoma Baptist,Arkansas Tech,11,Arkansas Tech -12.5,-12.5
Arkansas-Pine Bluff,Florida A&M,11,Arkansas-Pine Bluff -4.5,4.5
Mississippi Valley State,Jackson State,11,Jackson State -24.0,-24.0
East Carolina,Charlotte,11,East Carolina -33.5,33.5
Delaware,Louisiana Tech,11,Louisiana Tech -13.0,-13.0
Montana State,Weber State,11,Montana State -24.5,24.5
Middle Tennessee,Florida International,11,Florida International -5.5,-5.5
Arizona,Kansas,11,Arizona -9.0,9.0
New Haven,Merrimack,11,Merrimack -18.5,-18.5
UConn,Duke,11,Duke -12.0,-12.0
TCU,Iowa State,11,TCU -3.5,3.5
Samford,East Tennessee State,11,East Tennessee State -22.5,-22.5
Miami,Syracuse,11,Miami -25.5,25.5
Missouri,Texas A&M,11,Texas A&M -13.5,-13.5
South Dakota,South Dakota State,11,South Dakota State -5.5,-5.5
Austin Peay,Central Arkansas,11,Austin Peay -9.0,9.0
Alcorn State,Southern,11,Alcorn State -11.0,11.0
Vanderbilt,Auburn,11,Vanderbilt -6.5,6.5
Coastal Carolina,Georgia State,11,Coastal Carolina -11.0,11.0
Lamar,SE Louisiana,11,SE Louisiana -3.5,-3.5
Colorado Mesa,South Dakota Mines,11,Colorado Mesa -13.0,13.0
La Verne,Chapman,11,Chapman -24.0,-24.0
Puget Sound,Linfield College,11,Linfield College -34.0,-34.0
North Alabama,West Georgia,11,West Georgia -13.5,-13.5
New Mexico State,Kennesaw State,11,Kennesaw State -18.0,-18.0
Bridgewater State,Anna Maria College,11,Anna Maria College -7.5,-7.5
Truman State,William Jewell,11,Truman State -23.5,23.5
Valdosta State,Delta State,11,Delta State -6.5,-6.5
Lewis & Clark College,Pacific Lutheran,11,Lewis & Clark College -7.0,7.0
Willamette,Whitworth,11,Whitworth -35.0,-35.0
NEWBERG,Pacific (OR),11,NEWBERG -0.5,0.5
North Carolina,Stanford,11,Stanford -5.5,-5.5
